	Кол-во закладных	Суммарный ОД	Первоначальный ОД	Текущий ОД	Ставка по кредиту	Выдержка	Срок до погашения	Платеж	Кредит/Залог	Среднерыночная ставка при выдаче	Поправка дефолта	Поправка досрочки	Поправка частички 0	Поправка частички 1	Изменение стоимости залога	Продукт
0	743	1334701.8423283983	1820614.4016150741	1334701.8423283983	13.997581101639035	54.21613159841068	194.80114397198867	17487.187127397727	65.96470583882356	13.133513938157446	0.44807663476766385	0.9745132966957211	1.1515752052607715	0.9014788578422319	0.9577048313042528	0
1	1352	1424771.9854289943	1938879.8640754437	1424771.9854289943	13.030788588789141	57.03373678012535	193.0226243397509	17772.72976001502	66.99033446058526	12.45331888612724	0.5113987621052689	0.9084521639588012	1.1508748104936863	0.8916433427316321	0.9679330019653108	0
2	496	1229463.7397983873	1748273.103830645	1229463.7397983873	15.308572764128606	51.27379231998534	193.50915086658105	17223.2782801882	63.71648713748533	13.711513932021207	0.34525085296720315	1.0238739361636318	1.1766621462183164	0.9115367687588204	0.945815508178228	0
3	1474	1809725.2023948438	2443514.6499321572	1809725.2023948438	12.108029612663337	56.95411064471091	195.6833052339506	21391.370350913916	69.4439931459151	12.244228383882454	0.7222334126714794	0.850323446039428	1.1741107109448177	0.8638489697200897	0.9705944428681699	0
4	2216	1014331.0593998196	1485330.2477436822	1014331.0593998196	13.927553610342011	60.77828051392468	119.8568261540639	15804.586927791519	62.26009050779154	12.81421971813429	0.415912392879314	1.0889678903663167	1.1509686420732814	0.9292784570512584	0.9831678978628429	0
5	2967	1140302.9749882035	1647660.982612066	1140302.9749882035	13.043394308085825	58.71089194133987	122.10950632491942	16999.56432173379	63.689184694636914	12.406034006627758	0.5009618322367024	1.018120485553776	1.1336654470318337	0.9329780045898024	0.9718827414814598	0
6	777	1099561.7934362935	1580486.5892149291	1099561.7934362935	15.337839617149998	51.175961229873984	127.50150947268641	17620.63351024077	59.47719234633934	13.607020431072078	0.33980830944591994	1.152227283007274	1.1694928781358265	0.9574449747236725	0.9416984179813701	0
7	2682	1394469.3220283373	2049797.1662453392	1394469.3220283373	12.181868011604623	58.62318560416042	122.83887785172341	20003.194401653484	66.25532030590485	12.28503634784933	0.7288793476275685	0.9411314321995253	1.140234950051442	0.9070067234009039	0.9766664893979916	0
8	1367	767940.4253547916	1391401.380175567	767940.4253547916	13.943898582352299	65.293996749198	67.25186372350485	16978.67730846471	60.05160390911393	12.892481819090163	0.41913419882231406	1.2084224735355662	1.1572596583826322	0.958744355027823	0.996125281425894	0
9	1892	877618.606627907	1599713.8430232557	877618.606627907	13.052948320495265	61.42941898154142	69.64570451359282	18470.012135380013	62.4528991485834	12.39959943267168	0.5054006189008672	1.1082184074124544	1.1454178785345865	0.9394098746772124	0.9865287915642216	0
10	672	818179.5696130951	1441670.7952232142	818179.5696130951	15.312686066270789	60.239574545353705	68.36467218232136	18308.167979871407	55.45896644875083	13.72566941358831	0.3251228582740449	1.2913751127013997	1.2056774791671028	0.9779150000792209	0.9691204322598743	0
11	2057	1008826.3078998543	1947020.399285367	1008826.3078998543	12.121932760557305	67.44311204993352	71.32704685196866	20562.29556092188	63.147180236260866	12.246518543288603	0.7176882558678785	1.0049002363390227	1.1621440346512295	0.9256796889057157	1.0106285157691817	0
12	790	349319.2388481013	1523903.5317594938	349319.2388481013	13.92810321938155	60.15608435660562	30.07103803000215	16997.951400803053	59.70701470574119	12.87948149656772	0.4161142965756039	1.2210528072062077	1.174952492504101	0.9479666638113772	0.9803520118120658	0
13	1298	373820.07416795066	1603589.0375963019	373820.07416795066	13.08163333907781	60.80876934048781	28.492268408844463	18863.006652472806	59.496191497529374	12.449552956726405	0.49051512433281463	1.2327581361339972	1.1518235118455313	0.9680802552528603	0.980231973130778	0
14	436	333037.7222706423	1566251.4541284405	333037.7222706423	15.34485313262573	51.79821272541218	29.00701750284983	17185.195508619898	52.35641953865901	13.696380401615206	0.3105692369836355	1.397662359888157	1.190680855607571	1.0211133288343655	0.9509587254829378	0
15	1587	370625.69930056715	1850396.199042218	370625.69930056715	12.00734627286786	65.55074231811662	27.18035758859613	19551.23767572622	56.94975289283664	12.316730575313585	0.7153768525156899	1.1916508315596086	1.2012899207693783	0.9750112288615868	0.9996060229754309	0
